,mm_lon,mm_lat,edge_id,pos,dev,type
0,-122.107071,47.667484,0,0.546,1.136,matched
1,-122.107071,47.6675,0,0.637,0.568,interpolated
2,-122.107071,47.6675,0,0.637,0.568,interpolated
3,-122.107071,47.667515,0,0.728,2.84,interpolated
4,-122.106987,47.667561,1,0.393,2.952,interpolated
5,-122.106918,47.667557,1,0.715,2.531,matched
6,-122.106834,47.667557,2,0.031,4.64,interpolated
7,-122.106735,47.667557,2,0.167,4.64,matched
8,-122.106598,47.667553,2,0.354,4.218,matched
9,-122.106468,47.667553,2,0.531,4.218,interpolated
10,-122.106331,47.667553,2,0.719,4.218,matched
11,-122.106201,47.667549,2,0.896,3.796,interpolated
12,-122.106064,47.667549,3,0.087,3.796,matched
13,-122.105949,47.667549,3,0.25,3.796,interpolated
14,-122.105835,47.667549,3,0.413,3.796,matched
15,-122.105698,47.667545,3,0.609,3.374,matched
16,-122.105583,47.667545,3,0.772,3.374,interpolated
17,-122.105469,47.667545,3,0.935,3.374,matched
18,-122.105347,47.667545,4,0.093,3.374,interpolated
19,-122.105217,47.667549,4,0.25,3.796,matched
20,-122.105103,47.667553,4,0.389,4.218,interpolated
21,-122.105003,47.667553,4,0.509,4.218,matched
22,-122.104866,47.667557,4,0.676,2.531,matched
23,-122.104752,47.667557,4,0.815,2.531,interpolated
24,-122.104614,47.667561,4,0.981,2.952,matched
25,-122.104485,47.667561,5,0.75,2.952,interpolated
26,-122.104332,47.667561,6,0.417,2.952,matched
27,-122.104187,47.667564,6,0.944,3.374,matched
28,-122.104034,47.667564,7,0.75,3.374,matched
29,-122.103867,47.667564,8,0.372,3.374,matched
30,-122.103668,47.667564,8,0.977,3.374,matched
31,-122.10347,47.667561,9,1.0,2.952,matched
32,-122.103264,47.667561,10,0.175,2.952,matched
33,-122.103081,47.667561,10,0.331,5.061,matched
34,-122.102913,47.667561,10,0.474,5.061,matched
35,-122.102753,47.667561,10,0.611,5.061,matched
36,-122.102631,47.667561,10,0.715,5.061,interpolated
37,-122.102531,47.667564,10,0.8,5.6,matched
38,-122.102432,47.667576,10,0.885,4.777,interpolated
39,-122.102371,47.667595,10,0.943,7.322,matched
40,-122.102325,47.66761,10,0.986,7.56,interpolated
41,-122.10231,47.667614,10,1.0,7.939,interpolated
42,-122.10231,47.667614,10,1.0,7.939,interpolated
43,-122.10231,47.667614,10,1.0,7.939,interpolated
44,-122.10231,47.667614,10,1.0,7.939,interpolated
45,-122.10231,47.667614,10,1.0,7.939,interpolated
46,-122.10231,47.667614,10,1.0,7.939,interpolated
47,-122.10231,47.667614,10,1.0,7.939,interpolated
48,-122.10231,47.667614,10,1.0,7.939,interpolated
49,-122.10231,47.667614,10,1.0,7.939,interpolated
50,-122.10231,47.667614,10,1.0,7.939,interpolated
51,-122.10231,47.667614,10,1.0,7.939,interpolated
52,-122.10231,47.667614,10,1.0,7.939,interpolated
53,-122.10231,47.667614,10,1.0,7.939,interpolated
54,-122.10231,47.667614,10,1.0,7.939,interpolated
55,-122.10231,47.667614,10,1.0,6.102,interpolated
56,-122.10231,47.667614,10,1.0,6.102,interpolated
57,-122.10231,47.667614,10,1.0,6.102,interpolated
58,-122.10231,47.667614,10,1.0,6.102,interpolated
59,-122.10231,47.667614,10,1.0,6.102,interpolated
60,-122.10231,47.667614,10,1.0,6.102,interpolated
61,-122.10231,47.667614,10,1.0,6.102,interpolated
62,-122.10231,47.667614,10,1.0,6.102,interpolated
63,-122.10231,47.667614,10,1.0,6.102,interpolated
64,-122.10231,47.667614,10,1.0,6.102,interpolated
65,-122.10231,47.667614,10,1.0,6.102,interpolated
66,-122.10231,47.667614,10,1.0,6.102,interpolated
67,-122.10231,47.667614,10,1.0,6.102,interpolated
68,-122.10231,47.667614,10,1.0,6.102,interpolated
69,-122.10231,47.667614,10,1.0,6.102,interpolated
70,-122.10231,47.667614,10,1.0,6.102,interpolated
71,-122.10231,47.667614,10,1.0,6.102,interpolated
72,-122.10231,47.667614,10,1.0,6.102,interpolated
73,-122.10231,47.667614,10,1.0,6.102,interpolated
74,-122.10231,47.667614,10,1.0,6.102,interpolated
75,-122.10231,47.667614,10,1.0,6.102,interpolated
76,-122.10231,47.667614,10,1.0,6.102,interpolated
77,-122.10231,47.667614,10,1.0,6.102,interpolated
78,-122.10231,47.667614,10,1.0,6.102,interpolated
79,-122.10231,47.667614,10,1.0,6.102,interpolated
80,-122.10231,47.667614,10,1.0,6.102,interpolated
81,-122.10231,47.667614,10,1.0,6.102,interpolated
82,-122.10231,47.667614,10,1.0,6.102,interpolated
83,-122.10231,47.667614,10,1.0,6.102,interpolated
84,-122.10231,47.667614,10,1.0,6.102,interpolated
85,-122.10231,47.667614,10,1.0,6.102,interpolated
